Province,District,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID
Bulawayo,Emakandeni,Bulawayo,Emakhandeni Clinic,Emakhandeni - 100443 - Clinic,cIHo19pHPnw,ZW090A01
Bulawayo,Nkulumane,Bulawayo,Tshabalala Clinic,Tshabalala - 101710 - Clinic,AU3HqiX44Iu,ZW090A02
Bulawayo,Northern Surbubs,Bulawayo,EF Watson Clinic,E.F. Watson - 100429 - Clinic,oZk9I1XeSu9,ZW090A03
Bulawayo,Northern Surbubs,Bulawayo,Entumbane Clinic,Entumbane - 100449 - Clinic,KIAW84qSifO,ZW090A04
Bulawayo,Northern Surbubs,Bulawayo,Khami Road Clinic,Khami - 100733 - Clinic,HTOW8SwHLtO,ZW090A05
Bulawayo,Emakandeni,Bulawayo,Luveve Clinic,Luveve - 100786 - Clinic,Sss3M30PqRD,ZW090A06
Bulawayo,Emakandeni,Bulawayo,Magwegwe Clinic,Magwegwe - 100824 - Clinic,FEdl2EBiTBV,ZW090A07
Bulawayo,Northern Surbubs,Bulawayo,Mzilikazi Clinic,Mzilikazi - 101202 - Clinic,LzPod6UX2mA,ZW090A08
Bulawayo,Emakandeni,Bulawayo,Njube Clinic,Njube - 101273 - Clinic,UCKxgQFp862,ZW090A09
Bulawayo,Northern Surbubs,Bulawayo,Thorngrove Infectious Diseases Hospital,Thorngrove - 101685 - Clinic,I1dsyC5hnKJ,ZW090A0E
Bulawayo,Nkulumane,Bulawayo,Nkulumane Clinic,Nkulumane - 101278 - Clinic,Sv1eXLkWUya,ZW090A10
Bulawayo,Nkulumane,Bulawayo,Pelandaba Clinic,Pelandaba - 101412 - Clinic,OnysnioygHR,ZW090A11
Bulawayo,Northern Surbubs,Bulawayo,Princess Margaret Clinic,Princess Margaret - 101429 - Clinic,sTQ6BFy94pp,ZW090A12
Bulawayo,Emakandeni,Bulawayo,Pumula Clinic,Pumula - 101432 - Clinic,bTFUZdQpl2O,ZW090A13
Bulawayo,Nkulumane,Bulawayo,Dr Shennan Clinic,Dr. Shennan - 100418 - Clinic,gs4v5i69tux,ZW090A14
Bulawayo,Nkulumane,Bulawayo,Nketa Clinic,Nketa - 101276 - Clinic,gpJEjabIuP7,ZW090A17
Bulawayo,Northern Surbubs,Bulawayo,Northern Suburbs Clinic,Northern Suburbs - 101290 - Clinic,en6HLtwW3sN,ZW090A18
Bulawayo,Emakandeni,Bulawayo,Cowdray Park Clinic,Cowdray Park - 100348 - Clinic,AQUWX00pVHC,ZW090A27
Bulawayo,Nkulumane,Bulawayo,Maqhawe Clinic,Maqhawe - 100893 - Clinic,ikrpWZKIaxV,ZW090A33
Bulawayo,Emakandeni,Bulawayo,Pumula South Clinic,Pumula South - 101434 - Clinic,zhkFyAbgMc2,ZW090A35
Bulawayo,Northern Surbubs,Bulawayo,Ceshhar Clinic,Ceshhar Clinic,Bnxui2aaMdQ,ZW090A49
Bulawayo,Northern Surbubs,Bulawayo,Emgwaninini,,ZW090A65,ZW090A65
Bulawayo,Northern Surbubs,Bulawayo,Mahatshula Private Clinic,Mahatshula Private Clinic,ZW010347,ZW090A66
Harare,ha North Western District,Harare,ha Avondale Clinic,Avondale - 100030 - Clinic,XY1ZmfDOMmZ,ZW000A01
Harare,ha Harare Central South Eastern District,Harare,ha Arcadia Clinic,Arcadia - 100015 - Clinic,xF2C4VhTlZh,ZW000A02
Harare,ha North Western District,Harare,Belvedere Poly clinic,Belvedere - 100055 - Poly clinic,M7zzw7p5tFf,ZW000A05
Harare,ha Northern District,Harare,ha Borrowdale Clinic,Borrowdale - 100086 - Clinic,OTxAHTpF4h8,ZW000A07
Harare,ha Harare Central South Eastern District,Harare,ha Braeside FHS Clinic,Braeside - 100091 - Clinic,d46RVdpyvCT,ZW000A08
Harare,ha West South West District,Harare,ha Budiriro PolyClinic,Budiriro - 100098 - Poly Clinic,xYSGGiMshib,ZW000A09
Harare,ha Western District,Harare,Beatrice Road Infectious Diseases Hosp,Beatrice Infectious - 100050 - Hospital,mn3hlUZz8Hy,ZW000A0C
Harare,ha Western District,Harare,Wilkins Infectious Disease Hospital,Wilkins Infectious Disease Hospital - 101775 - Infectious Disease Hospital,HRaxyjNZcaJ,ZW000A0D
Harare,ha Southern District,Harare,ha Mashambanzou Care Trust Hospital ,Mashambanzou Care Trust Hospital,v0iHXEbCcQ2,ZW000A0Z
Harare,ha Eastern District,Harare,ha Eastley FHS Clinic,Eastly - 100433 - Clinic,JCa4cIM0RG8,ZW000A10
Harare,ha South Western District,Harare,ha Glen Norah Satellite Clinic,Glen Norah - 100506 - Satellite clinic,DJjkezUgUFu,ZW000A11
Harare,ha West South West District,Harare,ha Mufakose FHS,Mufakose FHS,ZW000A114,ZW000A114
Harare,ha West South West District,Harare,ha Glen View PolyClinic,Glen View - 100507 - Poly clinic,ja1btrIkyqi,ZW000A13
Harare,ha West South West District,Harare,ha Glen View Satellite Clinic,Glen View - 100508 - Satellite clinic,eduFmnFLTUs,ZW000A14
Harare,ha Eastern District,Harare,ha Greendale FHS Clinic,Greendale - 100535 - Clinic,PkocfPqfGu8,ZW000A15
Harare,ha Northern District,Harare,ha Hatcliffe PolyClinic,Hatcliffe - 100584 - Poly clinic,XS02URbnDnM,ZW000A17
