site_id,month,day,year,submission_date,July,August,September
ZW02050B,7,17,2024,2024-07-17 00:00:00,0,0,0
ZW05020A,10,17,2024,2024-10-17 23:30:37,0,0,0
ZW060507,7,6,2024,2024-07-06 00:00:00,0,0,0
ZW010434,3,3,2024,2024-03-03 00:00:00,0,0,0
ZW060628,8,8,2024,2024-08-08 00:00:00,0,0,0
ZW060627,6,25,2024,2024-06-25 00:00:00,0,0,0
ZW090A17,10,18,2024,2024-10-18 17:10:32,0,0,0
ZW04070C,5,20,2024,2024-05-20 00:00:00,0,0,0
ZW04040A,10,21,2024,2024-10-21 09:00:56,0,0,0
ZW08020B,2,21,2024,2024-02-21 00:00:00,0,0,0
ZW030302,7,8,2024,2024-07-08 00:00:00,0,0,0
ZW03030A,10,24,2024,2024-10-24 18:37:07,0,0,0
ZW050630,4,8,2024,2024-04-08 00:00:00,0,0,0
ZW05060A,9,27,2024,2024-09-27 00:00:00,0,0,1
ZW030926,4,22,2024,2024-04-22 00:00:00,0,0,0
ZW090A12,7,2,2024,2024-07-02 00:00:00,0,0,0
ZW050631,4,25,2024,2024-04-25 00:00:00,0,0,0
ZW050404,9,14,2024,2024-09-14 00:00:00,0,0,0
ZW060627,6,26,2024,2024-06-26 00:00:00,0,0,0
ZW010137,8,18,2024,2024-08-18 00:00:00,0,0,0
ZW07050A,4,26,2024,2024-04-26 00:00:00,0,0,0
ZW070467,6,13,2024,2024-06-13 00:00:00,0,0,0
ZW090A17,8,26,2024,2024-08-26 00:00:00,0,1,0
ZW090A33,7,31,2024,2024-07-31 00:00:00,1,0,0
ZW030723,10,21,2024,2024-10-21 06:47:14,0,0,0
ZW03090A,10,15,2024,2024-10-15 13:12:48,0,0,0
ZW060201,10,17,2024,2024-10-17 23:30:49,0,0,0
ZW01060C,8,21,2024,2024-08-21 00:00:00,0,0,0
ZW070464,5,18,2024,2024-05-18 00:00:00,0,0,0
ZW080493,8,1,2024,2024-08-01 00:00:00,0,0,0
ZW080204,9,23,2024,2024-09-23 00:00:00,0,0,0
ZW08060B,7,8,2024,2024-07-08 00:00:00,0,0,0
ZW010319,8,4,2024,2024-08-04 00:00:00,0,0,0
ZW090A07,7,3,2024,2024-07-03 00:00:00,0,0,0
ZW000A01,4,4,2024,2024-04-04 00:00:00,0,0,0
ZW08070C,9,5,2024,2024-09-05 00:00:00,0,0,0
