Province,District,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,EHR Version,Activation Status,EHR Type,IP Address,Implementing Partner,Type,Ownership,Location,Level,Status
Mashonaland East,Seke,Seke,Acton Reynolds Rural Health Centre,Acton Ronolds - 100002 - Rural Health Centre,UtIHziKXtX0,ZW030901,ZW03,,,,,,ZIMTTECH,RHC,Government,Rural,clinic,Active
Midlands,Kwekwe,Kwekwe,Al Davies Clinic,Al Davies - 100004 - Clinic,tnlz7dGBqL9,ZW070586,ZW07,,,,,,,RHC,Town/City Council,Urban,Primary,
Mashonaland West,Makonde,Makonde,Alaska Munic Clinic,Alaska - 100005 - Clinic,gJr4bpmVlAZ,ZW040463,ZW04,,,,,,ZIMTTECH,RHC,Town/City Council,Peri-Urban,Primary,Open
Midlands,Kwekwe,Kwekwe,Amaveni Clinic,Amaveni - 100008 - Clinic,IJFe4swzr4G,ZW070561,ZW07,,,,,10.54.22.250,ZHI,RHC,Town/City Council,Urban,Primary,
Matabeleland South,Insiza,Insiza,Amazon Clinic,Amazon Clinic,WX4iuiyQmwV,ZW060430,ZW06,,,,,192.168.10.1,Ophid,RHC,Mission,Rural,,
Mashonaland Central,Mbire,Mbire,Angwa Clinic,Angwa - 100010 - Clinic,KiFPKW2LoT4,ZW020821,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,Primary,Open
Mashonaland East,Marondera,Marondera,Arcadia Rural Council Clinic,Arcadia Rural Council Clinic,Dj7yYZyni8C,ZW030591,ZW03,,,,,,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Mashonaland Central,Mazowe,Mazowe,ARDURA,Ardura - 100025 - Rural Health Centre,MmC3bTl8MQA,ZW020408,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Council,Farming,Primary,Open
Manicaland,Makoni,Makoni,Arnoldine Mission Clinic,Anorldine - 100012 - Clinic,ZP6AUxsoZDz,ZW010492,ZW01,,,,,,,Mission Clinic,Mission,Rural,Primary ,Open
Mash West,Zvimba,Zvimba,Aryshire Mine Clinic,Ayrshire - 100032 - Council Clinic,HEJAqIFBvHO,ZW040742,ZW04,,,,,,ZIMTTECH,IDH,Mine,Peri-Urban,Primary,MINING
Matabeleland South,Insiza,Insiza,Avoca Rural Hospital,Avoca - 100029 - Rural Hospital,qmtMQzRoH0H,ZW06040C,ZW06,,,,,10.84.3.3,Ophid,Rural Hospital,Government,Rural,,
Manicaland,Mutare,Mutare,Bakorenhema,Bakorenhema - 100036 - Clinic,pE1MgQBvhP2,ZW010525,ZW01,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Matabeleland North,Bubi,Bubi,Balanda Clinic,Balanda - 100037 - Rural Health Centre,ED5aIDufB5W,ZW050227,ZW05,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Mashonaland Central,Mt Darwin,Mt Darwin,BANDIMBA,Bandimba - 100040 - Rural Health Centre,aUsp0RPHrgn,ZW020533,ZW02,,,,,192.168.10.1,ZIMTTECH,COUNCIL CLINIC,COUNCIL,Rural,Primary,Open
Matabeleland South,Mangwe,Mangwe,Bango Rural Health Centre,Bango - 100042 - Clinic,vNLrnKgUtPc,ZW060709,ZW06,,,,,192.168.10.1,Ophid,RHC,Government,Rural,,
Manicaland,Buhera,Buhera,Bangure,Bangure - 100043 - Clinic,fSJy9rjmBSB,ZW010125,ZW01,,,,,192.168.10.2,ZHI,RDC,Rural Council,Rural,Primary,Open
Mashonaland West,Zvimba,Zvimba,Banket District Hospital,Banket - 100044 - District Hospital,kyFYqZ69z50,ZW04070A,ZW04,,,,,192.168.10.1,ZIMTTECH,District Hospital,Government,Urban,Secondary,TOWN
Mashonaland Central,Mazowe,Mazowe,BARE,Bare - 100046 - Clinic,fqe4Y8QrsNH,ZW020425,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Council,Rural,Primary,Open
